id,name,score,matchup,stage,year
E1,Boston,3,1,First Round,1984-85
E8,Cleveland,1,1,First Round,1984-85
E1,Boston,4,2,Conference Semifinals,1984-85
E4,Detroit,2,2,Conference Semifinals,1984-85
E4,Detroit,3,3,First Round,1984-85
E5,New Jersey,0,3,First Round,1984-85
E1,Boston,4,4,Conference Finals,1984-85
E3,Philadelphia,1,4,Conference Finals,1984-85
E3,Philadelphia,3,5,First Round,1984-85
E6,Washington,1,5,First Round,1984-85
E3,Philadelphia,4,6,Conference Semifinals,1984-85
E2,Milwaukee,0,6,Conference Semifinals,1984-85
E2,Milwaukee,3,7,First Round,1984-85
E7,Chicago,1,7,First Round,1984-85
E1,Boston,2,8,NBA Finals,1984-85
W1,LA Lakers,4,8,NBA Finals,1984-85
W1,LA Lakers,3,9,First Round,1984-85
W8,Phoenix,0,9,First Round,1984-85
W1,LA Lakers,4,10,Conference Semifinals,1984-85
W5,Portland,1,10,Conference Semifinals,1984-85
W4,Dallas,1,11,First Round,1984-85
W5,Portland,3,11,First Round,1984-85
W1,LA Lakers,4,12,Conference Finals,1984-85
W2,Denver,1,12,Conference Finals,1984-85
W3,Houston,2,13,First Round,1984-85
W6,Utah,3,13,First Round,1984-85
W6,Utah,1,14,Conference Semifinals,1984-85
W2,Denver,4,14,Conference Semifinals,1984-85
W2,Denver,3,15,First Round,1984-85
W7,San Antonio,2,15,First Round,1984-85
E1,Boston,3,1,First Round,1985-86
E8,Chicago,0,1,First Round,1985-86
E1,Boston,4,2,Conference Semifinals,1985-86
E4,Atlanta,1,2,Conference Semifinals,1985-86
E4,Atlanta,3,3,First Round,1985-86
E5,Detroit,1,3,First Round,1985-86
E1,Boston,4,4,Conference Finals,1985-86
E2,Milwaukee,0,4,Conference Finals,1985-86
E3,Philadelphia,3,5,First Round,1985-86
E6,Washington,2,5,First Round,1985-86
E3,Philadelphia,3,6,Conference Semifinals,1985-86
E2,Milwaukee,4,6,Conference Semifinals,1985-86
E2,Milwaukee,3,7,First Round,1985-86
E7,New Jersey,0,7,First Round,1985-86
E1,Boston,4,8,NBA Finals,1985-86
W2,Houston,2,8,NBA Finals,1985-86
W1,LA Lakers,3,9,First Round,1985-86
W8,San Antonio,0,9,First Round,1985-86
W1,LA Lakers,4,10,Conference Semifinals,1985-86
W4,Dallas,2,10,Conference Semifinals,1985-86
W4,Dallas,3,11,First Round,1985-86
W5,Utah,1,11,First Round,1985-86
W1,LA Lakers,1,12,Conference Finals,1985-86
W2,Houston,4,12,Conference Finals,1985-86
W3,Denver,3,13,First Round,1985-86
W6,Portland,1,13,First Round,1985-86
W3,Denver,2,14,Conference Semifinals,1985-86
W2,Houston,4,14,Conference Semifinals,1985-86
W2,Houston,3,15,First Round,1985-86
W7,Sacramento,0,15,First Round,1985-86
E1,Boston,3,1,First Round,1986-87
E8,Chicago,0,1,First Round,1986-87
E1,Boston,4,2,Conference Semifinals,1986-87
E4,Milwaukee,3,2,Conference Semifinals,1986-87
E4,Milwaukee,3,3,First Round,1986-87
E5,Philadelphia,2,3,First Round,1986-87
E1,Boston,4,4,Conference Finals,1986-87
E3,Detroit,3,4,Conference Finals,1986-87
E3,Detroit,3,5,First Round,1986-87
E6,Washington,0,5,First Round,1986-87
E3,Detroit,4,6,Conference Semifinals,1986-87
E2,Atlanta,1,6,Conference Semifinals,1986-87
E2,Atlanta,3,7,First Round,1986-87
E7,Indiana,1,7,First Round,1986-87
E1,Boston,2,8,NBA Finals,1986-87
W1,LA Lakers,4,8,NBA Finals,1986-87
W1,LA Lakers,3,9,First Round,1986-87
W8,Denver,0,9,First Round,1986-87
W1,LA Lakers,4,10,Conference Semifinals,1986-87
W5,Golden State,1,10,Conference Semifinals,1986-87
W4,Utah,2,11,First Round,1986-87
W5,Golden State,3,11,First Round,1986-87
W1,LA Lakers,4,12,Conference Finals,1986-87
W7,Seattle,0,12,Conference Finals,1986-87
W3,Portland,1,13,First Round,1986-87
W6,Houston,3,13,First Round,1986-87
W6,Houston,2,14,Conference Semifinals,1986-87
W7,Seattle,4,14,Conference Semifinals,1986-87
W2,Dallas,1,15,First Round,1986-87
W7,Seattle,3,15,First Round,1986-87
E1,Boston,3,1,First Round,1987-88
E8,New York,1,1,First Round,1987-88
E1,Boston,4,2,Conference Semifinals,1987-88
E4,Atlanta,3,2,Conference Semifinals,1987-88
E4,Atlanta,3,3,First Round,1987-88
E5,Milwaukee,2,3,First Round,1987-88
E1,Boston,2,4,Conference Finals,1987-88
E2,Detroit,4,4,Conference Finals,1987-88
E3,Chicago,3,5,First Round,1987-88
E6,Cleveland,2,5,First Round,1987-88
E3,Chicago,1,6,Conference Semifinals,1987-88
E2,Detroit,4,6,Conference Semifinals,1987-88
E2,Detroit,3,7,First Round,1987-88
E7,Washington,2,7,First Round,1987-88
E2,Detroit,3,8,NBA Finals,1987-88
W1,LA Lakers,4,8,NBA Finals,1987-88
W1,LA Lakers,3,9,First Round,1987-88
W8,San Antonio,0,9,First Round,1987-88
W1,LA Lakers,4,10,Conference Semifinals,1987-88
W5,Utah,3,10,Conference Semifinals,1987-88
W4,Portland,1,11,First Round,1987-88
W5,Utah,3,11,First Round,1987-88
W1,LA Lakers,4,12,Conference Finals,1987-88
W3,Dallas,3,12,Conference Finals,1987-88
W3,Dallas,3,13,First Round,1987-88
W6,Houston,1,13,First Round,1987-88
W3,Dallas,4,14,Conference Semifinals,1987-88
W2,Denver,2,14,Conference Semifinals,1987-88
W2,Denver,3,15,First Round,1987-88
W7,Seattle,2,15,First Round,1987-88
E1,Detroit,3,1,First Round,1988-89
E8,Boston,0,1,First Round,1988-89
E1,Detroit,4,2,Conference Semifinals,1988-89
E5,Milwaukee,0,2,Conference Semifinals,1988-89
E4,Atlanta,2,3,First Round,1988-89
E5,Milwaukee,3,3,First Round,1988-89
E1,Detroit,4,4,Conference Finals,1988-89
E6,Chicago,2,4,Conference Finals,1988-89
E3,Cleveland,2,5,First Round,1988-89
E6,Chicago,3,5,First Round,1988-89
E6,Chicago,4,6,Conference Semifinals,1988-89
E2,New York,2,6,Conference Semifinals,1988-89
E2,New York,3,7,First Round,1988-89
E7,Philadelphia,0,7,First Round,1988-89
E1,Detroit,4,8,NBA Finals,1988-89
W1,LA Lakers,0,8,NBA Finals,1988-89
W1,LA Lakers,3,9,First Round,1988-89
W8,Portland,0,9,First Round,1988-89
W1,LA Lakers,4,10,Conference Semifinals,1988-89
W4,Seattle,0,10,Conference Semifinals,1988-89
W4,Seattle,3,11,First Round,1988-89
W5,Houston,1,11,First Round,1988-89
W1,LA Lakers,4,12,Conference Finals,1988-89
W3,Phoenix,0,12,Conference Finals,1988-89
W3,Phoenix,3,13,First Round,1988-89
W6,Denver,0,13,First Round,1988-89
W3,Phoenix,4,14,Conference Semifinals,1988-89
W7,Golden State,1,14,Conference Semifinals,1988-89
W2,Utah,0,15,First Round,1988-89
W7,Golden State,3,15,First Round,1988-89
E1,Detroit,3,1,First Round,1989-90
E8,Indiana,0,1,First Round,1989-90
E1,Detroit,4,2,Conference Semifinals,1989-90
E5,New York,1,2,Conference Semifinals,1989-90
E4,Boston,2,3,First Round,1989-90
E5,New York,3,3,First Round,1989-90
E1,Detroit,4,4,Conference Finals,1989-90
E3,Chicago,3,4,Conference Finals,1989-90
E3,Chicago,3,5,First Round,1989-90
E6,Milwaukee,1,5,First Round,1989-90
E3,Chicago,4,6,Conference Semifinals,1989-90
E2,Philadelphia,1,6,Conference Semifinals,1989-90
E2,Philadelphia,3,7,First Round,1989-90
E7,Cleveland,2,7,First Round,1989-90
E1,Detroit,4,8,NBA Finals,1989-90
W3,Portland,1,8,NBA Finals,1989-90
W1,LA Lakers,3,9,First Round,1989-90
W8,Houston,1,9,First Round,1989-90
W1,LA Lakers,1,10,Conference Semifinals,1989-90
W5,Phoenix,4,10,Conference Semifinals,1989-90
W4,Utah,2,11,First Round,1989-90
W5,Phoenix,3,11,First Round,1989-90
W5,Phoenix,2,12,Conference Finals,1989-90
W3,Portland,4,12,Conference Finals,1989-90
W3,Portland,3,13,First Round,1989-90
W6,Dallas,0,13,First Round,1989-90
W3,Portland,4,14,Conference Semifinals,1989-90
W2,San Antonio,3,14,Conference Semifinals,1989-90
W2,San Antonio,3,15,First Round,1989-90
W7,Denver,0,15,First Round,1989-90
E1,Chicago,3,1,First Round,1990-91
E8,New York,0,1,First Round,1990-91
E1,Chicago,4,2,Conference Semifinals,1990-91
E5,Philadelphia,1,2,Conference Semifinals,1990-91
E4,Milwaukee,0,3,First Round,1990-91
E5,Philadelphia,3,3,First Round,1990-91
E1,Chicago,4,4,Conference Finals,1990-91
E3,Detroit,0,4,Conference Finals,1990-91
E3,Detroit,3,5,First Round,1990-91
E6,Atlanta,2,5,First Round,1990-91
E3,Detroit,4,6,Conference Semifinals,1990-91
E2,Boston,2,6,Conference Semifinals,1990-91
